Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,24.500000,24.500000,24.500000,196.000000,22.474068,3998720000
2000-01-04,23.125000,23.125000,23.125000,185.000000,21.212765,3098880000
2000-01-05,23.437500,23.437500,23.437500,187.500000,21.499426,6645760000
2000-01-06,23.250000,23.250000,23.250000,186.000000,21.327431,3303680000
2000-01-07,23.437500,23.437500,23.437500,187.500000,21.499426,2506240000
2000-01-10,24.125000,24.125000,24.125000,193.000000,22.130075,2247680000
2000-01-11,23.312500,23.312500,23.312500,186.500000,21.384762,1834240000
2000-01-12,22.500000,22.500000,22.500000,180.000000,20.639446,3682560000
2000-01-13,22.500000,22.500000,22.500000,180.000000,20.639446,1482240000
2000-01-14,22.687500,22.687500,22.687500,181.500000,20.811440,1480960000
2000-01-17,22.500000,22.500000,22.500000,180.000000,20.639446,744960000
2000-01-18,22.500000,22.500000,22.500000,180.000000,20.639446,942080000
2000-01-19,22.312500,22.312500,22.312500,178.500000,20.467449,2808320000
2000-01-20,21.562500,21.562500,21.562500,172.500000,19.779470,2941440000
2000-01-21,20.937500,20.937500,20.937500,167.500000,19.206152,2664960000
2000-01-24,21.062500,21.062500,21.062500,168.500000,19.320820,1530880000
2000-01-25,21.062500,21.062500,21.062500,168.500000,19.320820,0
2000-01-26,20.875000,20.875000,20.875000,167.000000,19.148821,4638720000
2000-01-27,21.125601,21.125601,21.125601,169.004807,19.378696,3141120000
2000-01-28,20.875000,20.875000,20.875000,167.000000,19.148821,1509120000
2000-01-31,21.250000,21.250000,21.250000,170.000000,19.492813,1182720000
2000-02-01,21.875000,21.875000,21.875000,175.000000,20.066128,1694720000
2000-02-02,22.343800,22.343800,22.343800,178.750397,20.496164,2019840000
2000-02-03,23.625000,23.625000,23.625000,189.000000,21.671421,4190720000
2000-02-04,24.312500,24.312500,24.312500,194.500000,22.302067,2465280000
2000-02-07,24.218800,24.218800,24.218800,193.750397,22.216118,2449920000
2000-02-08,25.000000,25.000000,25.000000,200.000000,22.932716,7100160000
2000-02-09,24.375000,24.375000,24.375000,195.000000,22.359402,1679360000
2000-02-10,23.750000,23.750000,23.750000,190.000000,21.786085,3900160000
2000-02-11,22.875000,22.875000,22.875000,183.000000,20.983437,4267520000
2000-02-14,23.125000,23.125000,23.125000,185.000000,21.212765,226560000
2000-02-15,24.437500,24.437500,24.437500,195.500000,22.416731,4633600000
2000-02-16,25.375000,25.375000,25.375000,203.000000,23.276709,8747520000
2000-02-17,24.561899,24.561899,24.561899,196.495193,22.530846,1715200000
2000-02-18,24.375000,24.375000,24.375000,195.000000,22.359402,2078720000
2000-02-21,24.562500,24.562500,24.562500,196.500000,22.531397,1254400000
2000-02-22,24.312500,24.312500,24.312500,194.500000,22.302067,4994560000
2000-02-23,25.132500,25.132500,25.132500,201.059998,23.054264,5461760000
2000-02-24,26.313101,26.313101,26.313101,210.504807,24.137238,9756160000
2000-02-25,26.937500,26.937500,26.937500,215.500000,24.710005,4839680000
2000-02-28,26.937500,26.937500,26.937500,215.500000,24.710005,3790080000
2000-02-29,26.812500,26.812500,26.812500,214.500000,24.595343,1628160000
2000-03-01,27.031900,27.031900,27.031900,216.255203,24.796600,2238720000
2000-03-02,27.000000,27.000000,27.000000,216.000000,24.767334,2679040000
2000-03-03,27.500000,27.500000,27.500000,220.000000,25.225992,1624320000
2000-03-06,27.500000,27.500000,27.500000,220.000000,25.225992,0
2000-03-07,27.500000,27.500000,27.500000,220.000000,25.225992,0
2000-03-08,27.687500,27.687500,27.687500,221.500000,25.397987,936960000
2000-03-09,28.562500,28.562500,28.562500,228.500000,26.200632,4049920000
